case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity,assigned_ips,subnet_masks,expected_mask,default_gateway,gateway_interface_ip,interface_status,required_vlans,configured_vlans,required_routes,configured_routes
C18,"Ping blocked but web should be allowed","Edge ACL policy test","ACL denies tcp 80 by rule order","ACL rule order incorrect",4,ACL,medium,"10.180.180.10","PC1=255.255.255.0",255.255.255.0,10.180.180.1,10.180.180.1,"g0/2:up","180","180","10.180.180.0/24","10.180.180.0/24"
C19,"Guest VLAN can access finance subnet","Segmentation test","show access-lists missing guest deny to 10.190.0.0/16","Missing isolation ACL entry",4,ACL,high,"10.190.10.10","PC1=255.255.255.0",255.255.255.0,10.190.10.1,10.190.10.1,"g0/3:up","190","190","10.190.0.0/16","10.190.0.0/16"
C20,"Users reach internet but not return traffic","PAT on edge router","show ip nat statistics no hits on inside interface","NAT inside/outside interfaces reversed",3,NAT,high,"192.168.200.10","PC1=255.255.255.0",255.255.255.0,192.168.200.1,192.168.200.1,"g0/0:up|g0/1:up","200","200","0.0.0.0/0","0.0.0.0/0"
C21,"Only subnet 192.168.210.0 cannot use NAT","NAT ACL includes other subnets","show access-lists 1 missing 192.168.210.0/24","NAT ACL missing inside subnet",3,NAT,medium,"192.168.210.10","PC1=255.255.255.0",255.255.255.0,192.168.210.1,192.168.210.1,"g0/0:up","210","210","192.168.210.0/24","192.168.210.0/24"
C22,"PAT translations exhaust quickly","Many clients share one IP","show ip nat statistics max entries reached","NAT pool/overload sizing issue",3,NAT,medium,"192.168.220.10","PC1=255.255.255.0",255.255.255.0,192.168.220.1,192.168.220.1,"g0/0:up","220","220","0.0.0.0/0","0.0.0.0/0"
C23,"SSID visible but auth fails","WLC with WPA2-PSK","client logs show wrong pre-shared key","Wireless PSK mismatch",2,Wireless,high,"192.168.230.10","PC1=255.255.255.0",255.255.255.0,192.168.230.1,192.168.230.1,"wlan0:up","230","230","192.168.230.0/24","192.168.230.0/24"
C24,"Wi-Fi clients connect but no IP","AP mapped to VLAN240","show interface trunk omits VLAN240","Wireless client VLAN not allowed on trunk",2,Wireless,high,"","PC1=255.255.255.0",255.255.255.0,10.240.240.1,10.240.240.1,"g0/1:up","240","","10.240.240.0/24","10.240.240.0/24"
C25,"Guest Wi-Fi reaches internal app","Guest and corp mapped incorrectly","show wlan summary maps guest SSID to corp VLAN","SSID mapped to wrong VLAN",2,Wireless,high,"10.250.10.10","PC1=255.255.255.0",255.255.255.0,10.250.10.1,10.250.10.1,"wlan1:up","250","250","10.250.0.0/16","10.250.0.0/16"
C26,"Switch uplink amber and no upstream reachability","Access switch to distribution","show interfaces status: Gi0/1 notconnect","Uplink interface down",1,Routing,high,"192.168.26.10","PC1=255.255.255.0",255.255.255.0,192.168.26.1,192.168.26.1,"g0/1:down","26","26","192.168.0.0/16","192.168.0.0/16"
C27,"Hosts in VLAN270 can ping gateway only","SVI and routed links present","show ip route missing 10.27.0.0/16 summary route","Missing distribution summary route",3,Routing,medium,"10.27.10.10","PC1=255.255.255.0",255.255.255.0,10.27.10.1,10.27.10.1,"g0/2:up","270","270","10.27.0.0/16",""
C28,"VoIP phones get IP but call manager unreachable","Voice VLAN with ACL","show access-lists blocks tcp 2000","Voice signaling blocked by ACL",4,ACL,high,"10.28.20.10","PC1=255.255.255.0",255.255.255.0,10.28.20.1,10.28.20.1,"f0/20:up","280","280","10.28.0.0/16","10.28.0.0/16"
C29,"PC receives wrong DNS from DHCP","DHCP options lab","show ip dhcp pool points dns-server 1.1.1.1 not internal","DHCP DNS option incorrect",7,DHCP,low,"10.29.30.10","PC1=255.255.255.0",255.255.255.0,10.29.30.1,10.29.30.1,"f0/30:up","290","290","10.29.0.0/16","10.29.0.0/16"
C30,"Internet works by IP but not URL for all hosts","NAT and DNS edge","show run has no ip name-server","DNS server not configured on clients/router",7,DNS,medium,"10.30.30.10","PC1=255.255.255.0",255.255.255.0,10.30.30.1,10.30.30.1,"g0/0:up","300","300","0.0.0.0/0","0.0.0.0/0"
C31,"Management VLAN cannot reach NTP server","L3 core with ACL and static routes","show ip route lacks 10.31.100.0/24","Missing route to management service subnet",3,Routing,medium,"10.31.10.10","PC1=255.255.255.0",255.255.255.0,10.31.10.1,10.31.10.1,"g0/4:up","310","310","10.31.100.0/24",""
C32,"Wireless handheld gets intermittent drops","AP channel overlap","show controllers dot11radio indicates high interference","Co-channel interference on wireless channels",1,Wireless,low,"10.32.10.10","PC1=255.255.255.0",255.255.255.0,10.32.10.1,10.32.10.1,"wlan2:up","320","320","10.32.0.0/16","10.32.0.0/16"
